Doors Task: 17-56_20190820
Randomized Jitter Order: ['Doors-002.csv', 'Doors-003.csv', 'Doors-004.csv']
Subject ID: 001
Beginning Task...

Starting Block 1...

Trial	DoorsAppear	Resp	RespTime		Feedback	FeedbackTime	Jitter
1	6.0147688389	3	8.9073388577	Loss	9.5075848103	3.5
2	15.5070629120	2	16.8627409935	Win	19.0164690018	2.0
3	23.5128269196	3	26.3549728394	Win	27.0046708584	1.5
4	31.0154359341	2	31.3176248074	Loss	34.5081799030	1.5
5	38.5022809505	3	40.1746239662	Loss	42.0117189884	2.5
6	47.0084168911	2	49.8348608017	Loss	50.5011849403	1.5
7	54.5119998455	2	57.3207249641	Loss	58.0046968460	3.0
8	63.5034618378	2	64.6236648560	Win	67.0122728348	3.0
9	72.5110929012	2	73.0128839016	Loss	76.0031549931	1.5
10	80.0138998032	2	82.4552218914	Win	83.5066390038	2.0
11	88.0021109581	2	90.8616948128	Loss	91.5122308731	1.5
12	95.5056288242	NaN	NaN	Win	99.0157558918	2.0
13	103.5105118752	NaN	NaN	Loss	107.0031509399	1.5
14	111.0139839649	2	112.6028578281	Loss	114.5067667961	2.5
15	119.5034477711	3	119.8723468781	Loss	123.0129477978	2.0
16	127.5084168911	NaN	NaN	Win	131.0011258125	3.5
17	137.0006117821	2	138.0703289509	Loss	140.5100448132	3.0
18	146.0081388950	2	147.2292490005	Win	149.5013289452	1.5
19	153.5116968155	NaN	NaN	Loss	157.0043900013	2.0
20	161.5165889263	2	162.4537429810	Win	165.0092418194	1.5
21	169.0033857822	3	171.9797158241	Win	172.5128259659	2.0
22	177.0082647800	2	178.3130137920	Win	180.5009458065	1.5
23	184.5116918087	NaN	NaN	Loss	188.0044357777	1.5
24	192.0152738094	3	194.7739038467	Win	195.5080249310	3.0
25	201.0061688423	2	203.9325699806	Win	204.5156309605	1.5
26	208.5104868412	3	211.4855329990	Win	212.0023488998	10.5

Starting Block 2...

Trial	DoorsAppear	Resp	RespTime		Feedback	FeedbackTime	Jitter
1	6.0151047707	2	8.2566258907	Loss	9.5078358650	2.5
2	14.5045928955	2	17.3968498707	Win	18.0140419006	1.5
3	22.0091059208	2	22.5115249157	Loss	25.5008568764	3.5
4	31.5004158020	3	34.3761727810	Win	35.0098159313	2.0
5	39.5051529408	3	41.8469698429	Win	43.0146689415	1.5
6	47.0087327957	2	49.7676739693	Loss	50.5015189648	1.5
7	54.5122509003	2	57.0703999996	Loss	58.0050327778	2.5
8	63.0024759769	2	64.8746578693	Loss	66.5112199783	2.5
9	71.5079319477	3	72.8462169170	Loss	75.0006878376	2.0
10	79.5128569603	2	80.3831717968	Win	83.0055518150	4.0
11	89.5064389706	2	92.3153769970	Win	93.0158579350	1.5
12	97.0107038021	2	99.7858929634	Win	100.5026688576	2.0
13	105.0148317814	2	107.3229207993	Win	108.5074789524	1.5
14	112.5026338100	3	115.3939499855	Loss	116.0110938549	2.0
15	120.5065438747	3	123.4997439384	Win	124.0159409046	1.5
16	128.0100219250	2	129.8495099545	Win	131.5027089119	2.5
17	136.5003337860	NaN	NaN	Loss	140.0089747906	5.0
18	147.5125279427	NaN	NaN	Loss	151.0052428246	1.5
19	155.0159919262	3	156.0199007988	Win	158.5087409019	2.5
20	163.5056989193	NaN	NaN	Win	167.0149259567	1.5
21	171.0090909004	3	173.7174677849	Win	174.5017337799	2.0
22	179.0138618946	3	181.8060359955	Win	182.5066127777	3.5
23	188.5061368942	2	189.9613788128	Loss	192.0155279636	1.5
24	196.0096769333	NaN	NaN	Loss	199.5024089813	2.5
25	204.5158078671	NaN	NaN	Loss	208.0086228848	2.5
26	213.0053639412	3	214.7785258293	Loss	216.5148169994	6.0

Starting Block 3...

Trial	DoorsAppear	Resp	RespTime		Feedback	FeedbackTime	Jitter
1	6.0139598846	2	8.8732089996	Loss	9.5066699982	1.5
2	13.5007150173	2	15.9427549839	Win	17.0101940632	1.5
3	21.0042829514	2	23.7295169830	Win	24.5136840343	4.0
4	31.0145359039	3	33.9242279530	Win	34.5072379112	3.5
5	40.5074310303	2	41.3117599487	Win	44.0168478489	1.5
6	48.0102689266	2	49.5322930813	Loss	51.5029659271	2.0
7	56.0151560307	NaN	NaN	Win	59.5078570843	1.5
8	63.5018839836	NaN	NaN	Win	67.0113449097	1.5
9	71.0054099560	3	71.4921898842	Loss	74.5148429871	3.5
10	80.5143990517	2	81.4681630135	Loss	84.0070400238	2.0
11	88.5025029182	2	88.9048180580	Loss	92.0119559765	2.0
12	96.5080819130	2	97.2104539871	Loss	100.0001299381	1.5
13	104.0108859539	2	106.9366569519	Win	107.5043599606	3.5
14	113.5031549931	3	116.3289039135	Loss	117.0126168728	2.0
15	121.5087609291	3	124.4003088474	Loss	125.0007040501	1.5
16	129.0114810467	2	130.7341289520	Loss	132.5042350292	2.5
17	137.5010659695	2	139.6421060562	Win	141.0105009079	3.0
18	146.5086579323	2	147.8301658630	Loss	150.0016229153	2.0
19	154.5134348869	2	155.1833238602	Win	158.0061030388	2.0
20	162.5016210079	2	163.5397958755	Loss	166.0110759735	1.5
21	170.0060360432	NaN	NaN	Loss	173.5145940781	3.5
22	179.5141329765	2	180.4178268909	Win	183.0067870617	1.5
23	187.0008349419	2	187.9717900753	Win	190.5102748871	1.5
24	194.5044519901	2	196.4285209179	Loss	198.0137760639	3.5
25	204.0140399933	2	205.1508109570	Win	207.5060329437	3.5
26	213.5054788589	2	216.3476910591	Win	217.0149168968	5.5

End Experiment	
