TimeofTask,Duration,Condition,Contrast
6.0000,6.000,LOSS,2
12.0000,2.500,NULL,0
14.5000,6.000,WIN,1
20.5000,1.500,NULL,0
22.0000,6.000,LOSS,2
28.0000,3.500,NULL,0
31.5000,6.000,WIN,1
37.5000,2.000,NULL,0
39.5000,6.000,WIN,1
45.5000,1.500,NULL,0
47.0000,6.000,LOSS,2
53.0000,1.500,NULL,0
54.5000,6.000,LOSS,2
60.5000,2.500,NULL,0
63.0000,6.000,LOSS,2
69.0000,2.500,NULL,0
71.5000,6.000,LOSS,2
77.5000,2.000,NULL,0
79.5000,6.000,WIN,1
85.5000,4.000,NULL,0
89.5000,6.000,WIN,1
95.5000,1.500,NULL,0
97.0000,6.000,WIN,1
103.0000,2.000,NULL,0
105.0000,6.000,WIN,1
111.0000,1.500,NULL,0
112.5000,6.000,LOSS,2
118.5000,2.000,NULL,0
120.5000,6.000,WIN,1
126.5000,1.500,NULL,0
128.0000,6.000,WIN,1
134.0000,2.500,NULL,0
136.5000,6.000,LOSS,2
142.5000,5.000,NULL,0
147.5000,6.000,LOSS,2
153.5000,1.500,NULL,0
155.0000,6.000,WIN,1
161.0000,2.500,NULL,0
163.5000,6.000,WIN,1
169.5000,1.500,NULL,0
171.0000,6.000,WIN,1
177.0000,2.000,NULL,0
179.0000,6.000,WIN,1
185.0000,3.500,NULL,0
188.5000,6.000,LOSS,2
194.5000,1.500,NULL,0
196.0000,6.000,LOSS,2
202.0000,2.500,NULL,0
204.5000,6.000,LOSS,2
210.5000,2.500,NULL,0
213.0000,6.000,LOSS,2
219.0000,6.000,NULL,0
