TimeofTask,Duration,Condition,Contrast
6.0000,6.000,LOSS,2
12.0000,1.500,NULL,0
13.5000,6.000,WIN,1
19.5000,2.500,NULL,0
22.0000,6.000,WIN,1
28.0000,1.500,NULL,0
29.5000,6.000,LOSS,2
35.5000,3.000,NULL,0
38.5000,6.000,LOSS,2
44.5000,2.000,NULL,0
46.5000,6.000,WIN,1
52.5000,3.000,NULL,0
55.5000,6.000,LOSS,2
61.5000,2.000,NULL,0
63.5000,6.000,WIN,1
69.5000,1.500,NULL,0
71.0000,6.000,WIN,1
77.0000,3.500,NULL,0
80.5000,6.000,LOSS,2
86.5000,2.000,NULL,0
88.5000,6.000,LOSS,2
94.5000,2.000,NULL,0
96.5000,6.000,LOSS,2
102.5000,2.000,NULL,0
104.5000,6.000,LOSS,2
110.5000,2.500,NULL,0
113.0000,6.000,LOSS,2
119.0000,4.500,NULL,0
123.5000,6.000,WIN,1
129.5000,2.000,NULL,0
131.5000,6.000,LOSS,2
137.5000,2.000,NULL,0
139.5000,6.000,WIN,1
145.5000,2.000,NULL,0
147.5000,6.000,WIN,1
153.5000,2.000,NULL,0
155.5000,6.000,WIN,1
161.5000,1.500,NULL,0
163.0000,6.000,WIN,1
169.0000,2.000,NULL,0
171.0000,6.000,WIN,1
177.0000,2.000,NULL,0
179.0000,6.000,LOSS,2
185.0000,5.000,NULL,0
190.0000,6.000,WIN,1
196.0000,2.500,NULL,0
198.5000,6.000,LOSS,2
204.5000,2.000,NULL,0
206.5000,6.000,WIN,1
212.5000,2.000,NULL,0
214.5000,6.000,LOSS,2
220.5000,4.500,NULL,0
