TimeofTask,Duration,Condition,Contrast
6.0000,6.000,LOSS,2
12.0000,2.500,NULL,0
14.5000,6.000,LOSS,2
20.5000,2.000,NULL,0
22.5000,6.000,LOSS,2
28.5000,1.500,NULL,0
30.0000,6.000,LOSS,2
36.0000,1.500,NULL,0
37.5000,6.000,WIN,1
43.5000,1.500,NULL,0
45.0000,6.000,LOSS,2
51.0000,3.000,NULL,0
54.0000,6.000,WIN,1
60.0000,3.500,NULL,0
63.5000,6.000,WIN,1
69.5000,1.500,NULL,0
71.0000,6.000,LOSS,2
77.0000,1.500,NULL,0
78.5000,6.000,LOSS,2
84.5000,1.500,NULL,0
86.0000,6.000,WIN,1
92.0000,1.500,NULL,0
93.5000,6.000,WIN,1
99.5000,1.500,NULL,0
101.0000,6.000,WIN,1
107.0000,5.000,NULL,0
112.0000,6.000,LOSS,2
118.0000,2.500,NULL,0
120.5000,6.000,WIN,1
126.5000,2.000,NULL,0
128.5000,6.000,WIN,1
134.5000,1.500,NULL,0
136.0000,6.000,WIN,1
142.0000,1.500,NULL,0
143.5000,6.000,LOSS,2
149.5000,1.500,NULL,0
151.0000,6.000,WIN,1
157.0000,2.500,NULL,0
159.5000,6.000,LOSS,2
165.5000,4.500,NULL,0
170.0000,6.000,LOSS,2
176.0000,1.500,NULL,0
177.5000,6.000,WIN,1
183.5000,2.500,NULL,0
186.0000,6.000,WIN,1
192.0000,1.500,NULL,0
193.5000,6.000,WIN,1
199.5000,2.500,NULL,0
202.0000,6.000,LOSS,2
208.0000,4.000,NULL,0
212.0000,6.000,LOSS,2
218.0000,7.000,NULL,0
