TimeofTask,Duration,Condition,Contrast
6.0000,6.000,LOSS,2
12.0000,1.500,NULL,0
13.5000,6.000,WIN,1
19.5000,1.500,NULL,0
21.0000,6.000,WIN,1
27.0000,3.000,NULL,0
30.0000,6.000,LOSS,2
36.0000,1.500,NULL,0
37.5000,6.000,WIN,1
43.5000,3.500,NULL,0
47.0000,6.000,LOSS,2
53.0000,2.000,NULL,0
55.0000,6.000,LOSS,2
61.0000,1.500,NULL,0
62.5000,6.000,LOSS,2
68.5000,2.000,NULL,0
70.5000,6.000,WIN,1
76.5000,2.000,NULL,0
78.5000,6.000,LOSS,2
84.5000,1.500,NULL,0
86.0000,6.000,WIN,1
92.0000,1.500,NULL,0
93.5000,6.000,LOSS,2
99.5000,1.500,NULL,0
101.0000,6.000,WIN,1
107.0000,1.500,NULL,0
108.5000,6.000,WIN,1
114.5000,1.500,NULL,0
116.0000,6.000,WIN,1
122.0000,1.500,NULL,0
123.5000,6.000,LOSS,2
129.5000,3.000,NULL,0
132.5000,6.000,WIN,1
138.5000,3.500,NULL,0
142.0000,6.000,LOSS,2
148.0000,1.500,NULL,0
149.5000,6.000,LOSS,2
155.5000,1.500,NULL,0
157.0000,6.000,LOSS,2
163.0000,3.000,NULL,0
166.0000,6.000,LOSS,2
172.0000,1.500,NULL,0
173.5000,6.000,WIN,1
179.5000,3.000,NULL,0
182.5000,6.000,WIN,1
188.5000,2.500,NULL,0
191.0000,6.000,LOSS,2
197.0000,1.500,NULL,0
198.5000,6.000,WIN,1
204.5000,3.500,NULL,0
208.0000,6.000,WIN,1
214.0000,6.000,NULL,0
