TimeofTask,Duration,Condition,Contrast
6.0000,6.000,WIN,1
12.0000,1.500,NULL,0
13.5000,6.000,WIN,1
19.5000,1.500,NULL,0
21.0000,6.000,WIN,1
27.0000,4.000,NULL,0
31.0000,6.000,LOSS,2
37.0000,2.000,NULL,0
39.0000,6.000,LOSS,2
45.0000,1.500,NULL,0
46.5000,6.000,WIN,1
52.5000,1.500,NULL,0
54.0000,6.000,LOSS,2
60.0000,1.500,NULL,0
61.5000,6.000,WIN,1
67.5000,2.000,NULL,0
69.5000,6.000,LOSS,2
75.5000,1.500,NULL,0
77.0000,6.000,WIN,1
83.0000,2.500,NULL,0
85.5000,6.000,LOSS,2
91.5000,2.000,NULL,0
93.5000,6.000,LOSS,2
99.5000,3.000,NULL,0
102.5000,6.000,LOSS,2
108.5000,1.500,NULL,0
110.0000,6.000,WIN,1
116.0000,5.000,NULL,0
121.0000,6.000,WIN,1
127.0000,1.500,NULL,0
128.5000,6.000,WIN,1
134.5000,1.500,NULL,0
136.0000,6.000,WIN,1
142.0000,2.000,NULL,0
144.0000,6.000,LOSS,2
150.0000,1.500,NULL,0
151.5000,6.000,LOSS,2
157.5000,1.500,NULL,0
159.0000,6.000,LOSS,2
165.0000,1.500,NULL,0
166.5000,6.000,LOSS,2
172.5000,2.500,NULL,0
175.0000,6.000,WIN,1
181.0000,1.500,NULL,0
182.5000,6.000,LOSS,2
188.5000,1.500,NULL,0
190.0000,6.000,LOSS,2
196.0000,3.500,NULL,0
199.5000,6.000,WIN,1
205.5000,2.000,NULL,0
207.5000,6.000,WIN,1
213.5000,6.500,NULL,0
