TimeofTask,Duration,Condition,Contrast
6.0000,6.000,LOSS,2
12.0000,4.000,NULL,0
16.0000,6.000,WIN,1
22.0000,1.500,NULL,0
23.5000,6.000,LOSS,2
29.5000,1.500,NULL,0
31.0000,6.000,WIN,1
37.0000,1.500,NULL,0
38.5000,6.000,LOSS,2
44.5000,3.000,NULL,0
47.5000,6.000,WIN,1
53.5000,1.500,NULL,0
55.0000,6.000,LOSS,2
61.0000,1.500,NULL,0
62.5000,6.000,LOSS,2
68.5000,1.500,NULL,0
70.0000,6.000,WIN,1
76.0000,2.000,NULL,0
78.0000,6.000,LOSS,2
84.0000,4.000,NULL,0
88.0000,6.000,WIN,1
94.0000,2.500,NULL,0
96.5000,6.000,LOSS,2
102.5000,1.500,NULL,0
104.0000,6.000,WIN,1
110.0000,3.500,NULL,0
113.5000,6.000,LOSS,2
119.5000,1.500,NULL,0
121.0000,6.000,LOSS,2
127.0000,1.500,NULL,0
128.5000,6.000,WIN,1
134.5000,2.000,NULL,0
136.5000,6.000,LOSS,2
142.5000,2.000,NULL,0
144.5000,6.000,LOSS,2
150.5000,2.000,NULL,0
152.5000,6.000,LOSS,2
158.5000,1.500,NULL,0
160.0000,6.000,WIN,1
166.0000,1.500,NULL,0
167.5000,6.000,WIN,1
173.5000,1.500,NULL,0
175.0000,6.000,WIN,1
181.0000,1.500,NULL,0
182.5000,6.000,WIN,1
188.5000,1.500,NULL,0
190.0000,6.000,LOSS,2
196.0000,2.000,NULL,0
198.0000,6.000,WIN,1
204.0000,4.500,NULL,0
208.5000,6.000,WIN,1
214.5000,5.500,NULL,0
