TimeofTask,Duration,Condition,Contrast
6.0000,6.000,WIN,1
12.0000,1.500,NULL,0
13.5000,6.000,LOSS,2
19.5000,1.500,NULL,0
21.0000,6.000,LOSS,2
27.0000,1.500,NULL,0
28.5000,6.000,LOSS,2
34.5000,3.500,NULL,0
38.0000,6.000,LOSS,2
44.0000,1.500,NULL,0
45.5000,6.000,WIN,1
51.5000,1.500,NULL,0
53.0000,6.000,WIN,1
59.0000,1.500,NULL,0
60.5000,6.000,WIN,1
66.5000,1.500,NULL,0
68.0000,6.000,WIN,1
74.0000,1.500,NULL,0
75.5000,6.000,WIN,1
81.5000,1.500,NULL,0
83.0000,6.000,WIN,1
89.0000,1.500,NULL,0
90.5000,6.000,LOSS,2
96.5000,1.500,NULL,0
98.0000,6.000,LOSS,2
104.0000,1.500,NULL,0
105.5000,6.000,WIN,1
111.5000,1.500,NULL,0
113.0000,6.000,LOSS,2
119.0000,1.500,NULL,0
120.5000,6.000,LOSS,2
126.5000,1.500,NULL,0
128.0000,6.000,WIN,1
134.0000,4.500,NULL,0
138.5000,6.000,WIN,1
144.5000,1.500,NULL,0
146.0000,6.000,LOSS,2
152.0000,1.500,NULL,0
153.5000,6.000,LOSS,2
159.5000,3.500,NULL,0
163.0000,6.000,LOSS,2
169.0000,2.000,NULL,0
171.0000,6.000,WIN,1
177.0000,4.500,NULL,0
181.5000,6.000,WIN,1
187.5000,3.500,NULL,0
191.0000,6.000,LOSS,2
197.0000,1.500,NULL,0
198.5000,6.000,LOSS,2
204.5000,2.000,NULL,0
206.5000,6.000,WIN,1
212.5000,7.500,NULL,0
