TimeofTask,Duration,Condition,Contrast
6.0000,6.000,WIN,1
12.0000,2.500,NULL,0
14.5000,6.000,LOSS,2
20.5000,1.500,NULL,0
22.0000,6.000,LOSS,2
28.0000,1.500,NULL,0
29.5000,6.000,WIN,1
35.5000,1.500,NULL,0
37.0000,6.000,LOSS,2
43.0000,1.500,NULL,0
44.5000,6.000,LOSS,2
50.5000,2.000,NULL,0
52.5000,6.000,LOSS,2
58.5000,1.500,NULL,0
60.0000,6.000,WIN,1
66.0000,1.500,NULL,0
67.5000,6.000,WIN,1
73.5000,1.500,NULL,0
75.0000,6.000,WIN,1
81.0000,1.500,NULL,0
82.5000,6.000,WIN,1
88.5000,2.000,NULL,0
90.5000,6.000,LOSS,2
96.5000,1.500,NULL,0
98.0000,6.000,WIN,1
104.0000,1.500,NULL,0
105.5000,6.000,LOSS,2
111.5000,2.500,NULL,0
114.0000,6.000,WIN,1
120.0000,4.000,NULL,0
124.0000,6.000,LOSS,2
130.0000,3.000,NULL,0
133.0000,6.000,LOSS,2
139.0000,1.500,NULL,0
140.5000,6.000,WIN,1
146.5000,1.500,NULL,0
148.0000,6.000,WIN,1
154.0000,3.500,NULL,0
157.5000,6.000,LOSS,2
163.5000,1.500,NULL,0
165.0000,6.000,WIN,1
171.0000,1.500,NULL,0
172.5000,6.000,LOSS,2
178.5000,2.500,NULL,0
181.0000,6.000,WIN,1
187.0000,5.000,NULL,0
192.0000,6.000,LOSS,2
198.0000,2.000,NULL,0
200.0000,6.000,LOSS,2
206.0000,2.000,NULL,0
208.0000,6.000,WIN,1
214.0000,6.000,NULL,0
